2096,8,40,3,120,U,0,11279.82
2097,8,40,3,120,S,0,8255.96,1,1,0,1,1,1,1,0
2098,8,40,3,120,U,0,9024.14
2099,8,40,3,120,S,0,5923.99,1,0,0,1,0,0,0,0
2100,12,60,3,180,U,0,148397.92
2101,12,60,3,180,U,0,168049.1
2102,12,60,3,180,U,0,132348.06
2103,12,60,3,180,S,0,19260.88,0,1,0,1,0,0,0,0,0,0,1,0
2104,12,60,3,180,S,0,66597.94,0,1,1,0,1,1,0,0,0,1,1,9
2105,12,60,3,180,S,0,105191.95,1,0,0,0,0,0,0,1,1,1,0,0
2106,12,60,3,180,U,0,252156.02
2107,12,60,3,180,U,0,150753.02
2108,12,60,3,180,U,0,225659.85
2109,12,60,3,180,S,0,89818.0,1,0,0,1,0,1,0,0,1,1,1,1
2110,16,80,3,240,U,0,3017403.84
2111,16,80,3,240,S,0,2106076.96,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
2112,16,80,3,240,S,0,1278571.84,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
2113,16,80,3,240,U,0,2511249.07
2114,16,80,3,240,U,0,2534237.15
2115,16,80,3,240,S,0,54358.01,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
2116,16,80,3,240,U,0,2530505.9
2117,16,80,3,240,U,0,2122094.87
2118,16,80,3,240,U,0,2758090.02
2119,16,80,3,240,U,0,1964196.92
2120,18,90,3,270,U,0,8644610.17
2121,18,90,3,270,S,0,358529.09,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
2122,18,90,3,270,U,0,9932577.13
2123,18,90,3,270,U,0,9550262.93
2124,18,90,3,270,U,0,7418960.09
2125,18,90,3,270,U,0,7020286.08
2126,18,90,3,270,U,0,7615592.0
2127,18,90,3,270,U,0,11063020.94
2128,18,90,3,270,U,0,9347578.05
2129,18,90,3,270,U,0,9123833.18
2130,20,100,3,300,U,0,52207192.9
2131,20,100,3,300,U,0,12937204.12
2132,20,100,3,300,U,0,43114333.87
